"symbol","date","return_pct","volume","event_type","external_source","decision","notes"
"PNJ","2024-08-19","6.934657270980149","4962150","OTHER","Trang Thông báo PNJ: CBTT Quy chế ESOP 2024 và danh sách người lao động tham gia ESOP (19/08/2024); PNJ 35-20240905 - Thông báo phát hành ESOP 2024","KEEP","Có CBTT ESOP đúng ngày 19/08 nên đây có thể là biến động do thông tin thị trường, nhưng không phải ngày giao dịch không hưởng quyền hay điều chỉnh giá cơ học. Thông báo phát hành ngày 05/09, nhận tiền 12–23/09 và tỷ lệ phát hành 1%; giữ quan sát thật để mô hình học biến động."
"PNJ","2025-04-03","-6.904273185295762","2640573","NONE","PNJ - Thông báo cổ tức 2024: GDKHQ 10/02/2025; PNJ - Thông báo cổ tức đợt 2: GDKHQ 26/09/2025","KEEP","Không có ngày không hưởng quyền trong cụm tháng 4; phiên giảm sát sàn với volume 2,64 triệu là biến động giao dịch thật."
"PNJ","2025-04-08","-6.900212314225051","1428908","NONE","PNJ - Thông báo cổ tức 2024: GDKHQ 10/02/2025; PNJ - Thông báo cổ tức đợt 2: GDKHQ 26/09/2025","KEEP","Không có ngày không hưởng quyền trong cụm tháng 4; thuộc chuỗi giảm sàn liên tiếp."
"PNJ","2025-04-09","-6.955530216647665","3797310","NONE","PNJ - Thông báo cổ tức 2024: GDKHQ 10/02/2025; PNJ - Thông báo cổ tức đợt 2: GDKHQ 26/09/2025","KEEP","Không có ngày không hưởng quyền trong cụm tháng 4; close bằng low và volume 3,80 triệu xác nhận bán tháo thật."
"PNJ","2025-04-10","6.838235294117645","60105","NONE","PNJ - Thông báo cổ tức 2024: GDKHQ 10/02/2025; PNJ - Thông báo cổ tức đợt 2: GDKHQ 26/09/2025","KEEP","Phiên hồi trần thanh khoản thấp nằm giữa chuỗi sàn/trần; không trùng corporate action."
"PNJ","2025-04-11","6.859371415462268","3661566","OTHER","Trang Thông báo PNJ: CBTT cập nhật tài liệu ĐHĐCĐ và bổ sung Tờ trình mua lại cổ phiếu để giảm vốn điều lệ (11/04/2025); thông báo cổ tức có GDKHQ 10/02 và 26/09/2025","KEEP","Có CBTT về phương án mua lại cổ phiếu đúng ngày 11/04 nên biến động có thể chịu tác động thông tin. Đây không phải ngày GDKHQ hoặc điều chỉnh giá cơ học; giữ quan sát thật cho mô hình."
"PNJ","2025-08-01","6.985227065475108","1140352","NONE","PNJ 45b-20251002 - Kết quả ESOP 2025, hoàn tất phát hành 23/09/2025","KEEP","Phiên 01/08 xảy ra trước khi hoàn tất ESOP gần hai tháng; không phải bước điều chỉnh giá do phát hành."
"PNJ","2025-10-16","6.965699208443277","2990641","OTHER","PNJ 45b-20251002 - Kết quả ESOP 2025; PNJ 15a-20251003 - Đăng ký bán cổ phiếu 09/10–07/11/2025","KEEP","ESOP và đăng ký bán của người liên quan có thể ảnh hưởng cung cầu nhưng không điều chỉnh giá tham chiếu; giữ biến động thật."
"PNJ","2025-10-20","-6.875105059673892","2298748","OTHER","PNJ 45b-20251002 - Kết quả ESOP 2025; PNJ 15a-20251003 - Đăng ký bán cổ phiếu 09/10–07/11/2025","KEEP","Nằm trong thời gian đăng ký bán cổ phiếu; đây là tác động cung cầu thật, không phải corporate action điều chỉnh giá."
"PNJ","2026-01-29","6.759493670886085","6507784","OTHER","PNJ 5a-20260128 - Thông báo thay đổi nhân sự; PNJ 3a-20260128 - Nghị quyết thỏa thuận bảo lãnh","KEEP","Thông tin nhân sự và bảo lãnh có thể tác động tâm lý nhưng không phải quyền kinh tế làm điều chỉnh giá tham chiếu; giữ biến động giao dịch thật."
