"symbol","date","return_pct","volume","event_type","external_source","decision","notes"
"SHS","2023-08-18","-9.560906515580736","45197426","NONE","Tập công bố SHS 2023-2026 do người dùng cung cấp","KEEP","Không tìm thấy corporate action hoặc công bố SHS trùng/ngay trước phiên; giữ là biến động giao dịch thật."
"SHS","2023-09-12","8.993710691823908","27208077","OTHER","SHS ngày 08/09/2023: người nội bộ đăng ký bán cổ phiếu và Bản tin Nhà đầu tư tháng 9/2023","KEEP","Phiên sau cụm thông tin ngày 08/09; có thể chịu tác động thông tin nhưng không phải điều chỉnh giá cơ học."
"SHS","2023-09-22","-7.270486752926675","53071128","OTHER","SHS ngày 21/09/2023: người nội bộ hoàn thành bán cổ phiếu","KEEP","Phiên giao dịch kế tiếp sau báo cáo giao dịch nội bộ; giữ phản ứng thị trường thật."
"SHS","2023-09-25","-9.568106312292358","38692472","NONE","Tập công bố SHS 2023-2026 do người dùng cung cấp","KEEP","Không có corporate action trùng ngày; không đủ căn cứ gán tiếp biến động cho tin ngày 21/09."
"SHS","2023-09-27","7.930785868781554","31573673","OTHER","SHS CBTT Quyết định của UBCKNN về việc thu hồi Quyết định chấp thuận thành lập văn phòng đại diện công ty chứng khoán","KEEP","Sự kiện quản lý/pháp lý có thể ảnh hưởng kỳ vọng thị trường nhưng không làm điều chỉnh giá tham chiếu cơ học."
"SHS","2023-10-03","-8.63358259687288","40338674","NONE","Tập công bố SHS 2023-2026 do người dùng cung cấp","KEEP","Tin hợp tác SHS-SHB được đăng ngày 04/10, sau phiên này; không dùng dữ liệu tương lai để giải thích."
"SHS","2023-10-17","-8.483633934535739","27620360","NONE","Tập công bố SHS 2023-2026 do người dùng cung cấp","KEEP","Tin kết nối phái sinh được đăng ngày 18/10, sau phiên này; giữ quan sát để tránh look-ahead."
"SHS","2023-10-26","-9.27007299270073","63141573","OTHER","SHS ngày 24/10/2023: phương án vay vốn theo hạn mức tại SHB Đông Đô","KEEP","Công bố tài trợ vốn trước phiên có thể ảnh hưởng kỳ vọng; không phải corporate action điều chỉnh giá."
"SHS","2023-10-30","-8.613938919342212","19534894","OTHER","SHS ngày 27/10/2023: Giấy chứng nhận thành viên bù trừ chứng khoán phái sinh của VSDC","KEEP","Phiên kế tiếp sau công bố nghiệp vụ; giữ là phản ứng thị trường, không điều chỉnh chuỗi giá."
"SHS","2023-10-31","-6.512425021422452","34571425","NONE","Tập công bố SHS 2023-2026 do người dùng cung cấp","KEEP","Không có corporate action trùng ngày; giữ biến động thật."
"SHS","2023-11-01","9.257561869844189","47367812","NONE","Tập công bố SHS 2023-2026 do người dùng cung cấp","KEEP","Các công bố ngày 02/11 xuất hiện sau phiên; không dùng thông tin tương lai để phân loại phiên 01/11."
"SHS","2023-11-02","9.228187919463092","37509188","OTHER","SHS CBTT cơ cấu cổ đông tháng 10/2023 và phương án vay hạn mức thấu chi tại SHB Đông Đô","KEEP","Thông tin cổ đông và tài trợ vốn; không phải cổ tức, quyền mua hoặc thay đổi giá do corporate action."
"SHS","2023-11-08","9.449404761904766","43403550","OTHER","SHS ngày 07/11/2023: người nội bộ đăng ký bán cổ phiếu SHS","KEEP","Phiên kế tiếp sau công bố giao dịch nội bộ; có thể phản ánh cung cầu nhưng không phải điều chỉnh giá."
"SHS","2023-11-23","-7.647814910025708","28552032","NONE","Tập công bố SHS 2023-2026 do người dùng cung cấp","KEEP","Không tìm thấy sự kiện quyền hoặc công bố liên quan trong tập tài liệu đã giao."
"SHS","2024-04-15","-8.698123934053449","50495135","OTHER","SHS ngày 12/04/2024: thông báo đề cử/ứng cử thành viên BKS và Báo cáo thường niên 2023","KEEP","Phiên giao dịch kế tiếp sau công bố quản trị và báo cáo thường niên; không phải ngày thực hiện quyền."
"SHS","2024-08-01","-6.788321167883216","27172434","NONE","Tập công bố SHS 2023-2026 do người dùng cung cấp","KEEP","Tin bổ nhiệm kiểm toán nội bộ được đăng ngày 02/08, sau phiên; không dùng dữ liệu tương lai."
"SHS","2024-08-05","-8.448540706605224","14251853","OTHER","SHS ngày 02/08/2024: bổ nhiệm Trưởng bộ phận kiểm toán nội bộ","KEEP","Phiên giao dịch kế tiếp sau công bố nhân sự kiểm toán; không phải điều chỉnh giá cơ học."
"SHS","2024-08-16","6.6147859922178975","18160423","NONE","Tập công bố SHS 2023-2026 do người dùng cung cấp","KEEP","Không tìm thấy corporate action hoặc công bố liên quan trùng/gần phiên."
"SHS","2024-12-05","7.699358386801092","17358352","NONE","Tập công bố SHS 2023-2026 do người dùng cung cấp","KEEP","Không tìm thấy corporate action hoặc công bố liên quan trùng/gần phiên."
"SHS","2025-02-04","6.966086159486706","25304055","NONE","Tập công bố SHS 2023-2026 và sự kiện quyền SHS ĐKCC 25/04/2025","KEEP","Không trùng ngày sự kiện quyền; giữ biến động giao dịch thật."
"SHS","2025-04-03","-9.444444444444445","30358160","OTHER","SHS CBTT đơn từ chức của ông Vũ Đức Tiến và phương án thay đổi địa điểm Chi nhánh TP.HCM","KEEP","Thông tin nhân sự và hoạt động doanh nghiệp; biến động giá được giữ làm quan sát thị trường."
"SHS","2025-04-08","-9.777777777777775","17486830","NONE","Tập công bố SHS 2023-2026 và sự kiện quyền SHS ĐKCC 25/04/2025","KEEP","Không trùng ngày ĐKCC/GDKHQ hoặc công bố được giao; giữ quan sát thật."
"SHS","2025-04-10","9.403437815975725","1946740","NONE","Tập công bố SHS 2023-2026 và sự kiện quyền SHS ĐKCC 25/04/2025","KEEP","Không trùng corporate action; công bố ĐHĐCĐ ngày 11/04 diễn ra sau phiên nên không dùng ngược thời gian."
"SHS","2025-04-11","7.024029574861368","23896542","OTHER","SHS CBTT sửa đổi Điều lệ; bổ nhiệm/miễn nhiệm HĐQT; Nghị quyết và Biên bản ĐHĐCĐ thường niên 2025","KEEP","Cụm thông tin quản trị doanh nghiệp có thể tác động giá nhưng không tạo điều chỉnh giá tham chiếu cơ học."
"SHS","2025-07-16","8.000000000000007","59298600","OTHER","SHS ngày 14/07/2025: đăng ký giao dịch cổ phiếu của người nội bộ","KEEP","Thông tin giao dịch nội bộ có thể tác động cung cầu; không phải điều chỉnh giá tham chiếu."
"SHS","2025-07-28","9.677419354838701","43611100","OTHER","SHS ngày 24/07/2025: giao dịch SHS-SHB và báo cáo kết quả giao dịch cổ phiếu của bà Trần Thị Vân","KEEP","Phiên sau cụm công bố kinh doanh/giao dịch nội bộ; giữ phản ứng thị trường thật."
"SHS","2025-07-30","9.595959595959602","60012700","OTHER","SHS CBTT Báo cáo tình hình quản trị Công ty 6 tháng đầu năm 2025","KEEP","Báo cáo định kỳ; không phải corporate action điều chỉnh chuỗi giá."
"SHS","2025-08-01","-6.521739130434778","71746800","OTHER","SHS CBTT các Quyết định HĐQT số 45/46 về giao dịch với SHB, đăng ký lại mẫu dấu và hợp tác quản lý danh mục với BVIM","KEEP","Cụm quyết định kinh doanh và giao dịch bên liên quan; không làm điều chỉnh giá tham chiếu cơ học."
"SHS","2025-08-04","9.76744186046512","58496800","OTHER","SHS ngày 01/08/2025: các Quyết định HĐQT về SHB, mẫu dấu và hợp tác BVIM","KEEP","Phiên giao dịch kế tiếp sau cụm công bố 01/08; không phải corporate action."
"SHS","2025-08-26","9.583333333333343","35521400","NONE","Tập công bố SHS 2023-2026 do người dùng cung cấp","KEEP","Văn bản UBCKNN về hồ sơ ESOP được đăng ngày 27/08, sau phiên; không dùng dữ liệu tương lai."
"SHS","2025-08-29","6.959706959706957","44137500","OTHER","SHS CBTT phát hành cổ phiếu theo Chương trình lựa chọn cho người lao động (ESOP)","KEEP","Thông báo ESOP có thể tạo kỳ vọng pha loãng nhưng ngày công bố không phải ngày điều chỉnh giá do thực hiện quyền."
"SHS","2025-09-05","-7.216494845360821","33622800","NONE","Tập công bố SHS 2023-2026 do người dùng cung cấp","KEEP","Không tìm thấy ngày thực hiện quyền hoặc công bố trùng/gần phiên; giữ biến động thật."
"SHS","2025-10-06","9.876543209876543","33015700","OTHER","SHS ngày 03/10/2025: kết quả phát hành ESOP và thay đổi số lượng cổ phiếu có quyền biểu quyết","KEEP","Phiên kế tiếp sau công bố hoàn tất ESOP; đây là phản ứng thông tin, không có bằng chứng phiên 06/10 là ngày điều chỉnh giá cơ học."
"SHS","2025-10-20","-9.85401459854015","49358400","OTHER","SHS ngày 17/10/2025: Nghị quyết số 06-2025/NQ-HĐQT về tăng vốn điều lệ","KEEP","Phiên giao dịch kế tiếp sau công bố tăng vốn; giữ phản ứng thị trường thật."
"SHS","2025-11-03","-9.565217391304348","42867600","OTHER","SHS CBTT về việc chính thức ra mắt giao diện website doanh nghiệp mới từ 01/11/2025","KEEP","Thông tin hành chính có mức liên hệ thấp với biến động giá; không có căn cứ coi là lỗi dữ liệu hoặc corporate action."
"SHS","2025-11-04","9.615384615384626","35928800","OTHER","SHS ngày 03/11/2025: thay đổi đăng ký doanh nghiệp lần 12 và ra mắt website mới","KEEP","Phiên kế tiếp sau công bố; thông tin hành chính không tạo điều chỉnh giá cơ học."
"SHS","2026-01-12","9.57446808510638","27350700","OTHER","SHS ngày 10/01/2026: thay Tổng Giám đốc/người đại diện pháp luật và HNX thông báo ngày giao dịch đầu tiên của cổ phiếu thay đổi đăng ký niêm yết","KEEP","Ngày 10/01 là thứ Bảy nên 12/01 là phiên phản ứng kế tiếp. Chưa có bằng chứng đây là ngày điều chỉnh giá; giữ quan sát và ghi cờ sự kiện."
