feature,importance
numeric__volatility_5,0.2328478483040841
numeric__vnindex_distance_ma20,0.22506978405470338
numeric__rolling_beta_60,0.1889433918769838
numeric__vnindex_ret_60,0.16168362117350302
numeric__vnindex_distance_ma200,0.1467504908543313
numeric__atr_14,0.12102438731987201
numeric__vnindex_volatility_5,0.11760770866197849
numeric__rolling_correlation_60,0.1160114280819482
numeric__vnindex_ret_20,0.11405750626190873
numeric__vnindex_ret_1,0.1098789110184571
numeric__distance_ma200,0.08864633727767592
categorical__market_regime_BULL,0.08468192279806049
numeric__vnindex_volatility_20,0.08376159113750008
numeric__drawdown_20,0.08214449138752046
categorical__market_regime_BEAR,0.08203475636475566
numeric__relative_volume_5,0.07920314520126054
numeric__relative_volume_20,0.07844281418478896
numeric__volatility_20,0.07841565372205879
numeric__ret_20,0.07816529267385651
numeric__relative_strength_5,0.0686714670294735
numeric__ret_10,0.06829772320030819
categorical__market_regime_SIDEWAYS,0.06721178192053591
numeric__vnindex_ret_5,0.05690243767119534
numeric__volatility_10,0.05681406926757735
numeric__distance_ma20,0.05309401359296065
numeric__distance_ma50,0.0503828707652581
numeric__range_1,0.045204423717524554
numeric__ret_1,0.044905975722365675
numeric__rsi_14,0.043575812062823044
numeric__drawdown_60,0.03485400069052471
numeric__intraday_return,0.027014546849186482
numeric__ret_5,0.022992849802160858
numeric__ret_2,0.022978422236719906
numeric__relative_strength_20,0.02130658130042808
numeric__overnight_gap,0.01946277939108028
