feature,importance
numeric__atr_14,0.054753445
numeric__volatility_5,0.035391133
numeric__volatility_10,0.03536893
numeric__distance_ma20,0.03475143
numeric__vnindex_volatility_20,0.034398902
numeric__vnindex_ret_60,0.033198245
numeric__vnindex_distance_ma20,0.031828355
numeric__vnindex_distance_ma200,0.031810597
numeric__vnindex_volatility_5,0.03179843
numeric__vnindex_ret_1,0.03144752
numeric__volatility_20,0.03029872
numeric__vnindex_ret_20,0.030021047
numeric__drawdown_20,0.029915182
numeric__ret_5,0.028961418
numeric__rolling_beta_60,0.028930215
numeric__ret_10,0.028770354
numeric__relative_strength_5,0.02811856
numeric__range_1,0.028096406
numeric__relative_strength_20,0.027715482
categorical__market_regime_BULL,0.027244443
numeric__ret_2,0.027181372
numeric__vnindex_ret_5,0.026860844
numeric__drawdown_60,0.026799371
numeric__rsi_14,0.02586882
numeric__ret_1,0.02553481
numeric__distance_ma50,0.025530765
numeric__distance_ma200,0.025512181
categorical__market_regime_SIDEWAYS,0.02540341
numeric__ret_20,0.02538119
numeric__rolling_correlation_60,0.025310762
numeric__intraday_return,0.025274891
numeric__relative_volume_20,0.024523387
numeric__overnight_gap,0.024443323
numeric__relative_volume_5,0.023556124
categorical__market_regime_BEAR,0.0
