threshold,margin,rows,actions,buys,sells,action_coverage,action_direction_accuracy,wilson_lower_bound,buy_win_rate_after_cost,long_only_net_return,long_only_sharpe,long_only_max_drawdown,eligible
0.36,0.0,625,212,91,121,0.3392,0.4056603773584906,0.34181102789308393,0.4725274725274725,0.026512068029103775,0.9334288337212175,-0.028763037219646015,True
0.36,0.03,625,10,0,10,0.016,0.4,0.16817758120350967,0.0,0.0,0.0,0.0,False
0.36,0.06,625,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.4,0.0,625,5,2,3,0.008,0.6,0.23071993220883702,1.0,0.005087632873360004,1.4255728899344744,0.0,False
0.4,0.03,625,1,0,1,0.0016,1.0,0.20654329147389294,0.0,0.0,0.0,0.0,False
0.4,0.06,625,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.44,0.0,625,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.44,0.03,625,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.44,0.06,625,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.48,0.0,625,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.48,0.03,625,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.48,0.06,625,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
